"idcode" "year" "age" "grade" "not_smsa" "south" "union" "t0" "southXt" "black"
7 70 21 12 0 0 0 0 0 0
7 71 22 12 0 0 0 1 0 0
7 72 23 12 0 0 0 2 0 0
7 87 37 12 0 0 0 17 0 0
7 88 39 12 0 0 0 18 0 0
9 70 18 12 0 0 1 0 0 0
9 71 19 12 0 0 1 1 0 0
9 72 20 12 0 0 1 2 0 0
9 73 21 12 0 0 1 3 0 0
9 77 25 12 0 0 1 7 0 0
9 78 26 12 0 0 1 8 0 0
9 80 28 12 0 0 1 10 0 0
9 82 30 12 0 0 1 12 0 0
9 83 31 12 0 0 1 13 0 0
9 85 33 12 0 0 1 15 0 0
9 87 35 12 0 0 1 17 0 0
9 88 37 12 0 0 1 18 0 0
10 70 18 10 0 0 0 0 0 0
10 71 19 10 0 0 0 1 0 0
10 77 25 10 0 0 0 7 0 0
10 80 28 10 0 0 0 10 0 0
10 82 30 10 0 0 0 12 0 0
12 77 29 17 0 0 0 7 0 0
12 87 39 18 0 0 0 17 0 0
12 88 40 18 0 0 0 18 0 0
13 70 22 14 0 0 0 0 0 0
13 71 23 14 0 0 0 1 0 0
13 73 25 14 0 0 0 3 0 0
13 78 30 14 0 0 0 8 0 0
13 80 32 14 0 0 1 10 0 0
13 82 34 14 0 0 0 12 0 0
13 83 35 14 0 0 0 13 0 0
13 85 37 14 0 0 0 15 0 0
13 87 39 14 0 0 0 17 0 0
13 88 40 14 0 0 0 18 0 0
14 78 30 14 0 0 0 8 0 0
14 80 32 14 0 0 0 10 0 0
14 87 39 15 0 0 0 17 0 0
14 88 40 15 0 0 0 18 0 0
15 72 23 15 0 0 0 2 0 0
15 77 28 16 0 0 0 7 0 0
15 78 29 16 0 0 0 8 0 0
15 80 31 16 0 0 1 10 0 0
15 82 33 16 0 0 1 12 0 0
15 83 34 16 0 0 1 13 0 0
15 85 36 16 0 0 1 15 0 0
15 87 38 16 0 0 1 17 0 0
15 88 39 16 0 0 1 18 0 0
16 70 21 15 0 0 0 0 0 0
16 71 22 15 0 0 0 1 0 0
16 72 23 15 0 0 0 2 0 0
16 73 24 15 0 0 0 3 0 0
16 77 28 15 0 0 0 7 0 0
16 78 29 15 0 0 0 8 0 0
16 80 31 15 0 0 0 10 0 0
16 82 33 15 0 0 0 12 0 0
16 83 34 15 0 0 0 13 0 0
16 85 36 15 0 0 0 15 0 0
16 87 38 15 0 0 0 17 0 0
16 88 40 15 0 0 0 18 0 0
17 70 21 15 0 0 0 0 0 0
17 71 22 15 0 0 0 1 0 0
17 72 23 15 0 0 0 2 0 0
17 73 24 15 0 0 0 3 0 0
17 77 28 15 0 0 0 7 0 0
17 87 38 15 0 0 0 17 0 0
18 77 28 15 0 0 0 7 0 0
18 85 36 15 0 0 0 15 0 0
18 87 38 15 0 0 0 17 0 0
18 88 40 15 0 0 0 18 0 0
19 70 21 15 0 0 0 0 0 0
19 71 22 15 0 0 0 1 0 0
19 72 23 15 0 0 0 2 0 0
19 73 24 15 0 0 0 3 0 0
19 78 29 15 0 0 0 8 0 0
19 80 31 15 0 0 0 10 0 0
19 82 33 15 0 0 0 12 0 0
19 83 34 15 0 0 0 13 0 0
19 85 36 15 0 0 0 15 0 0
19 87 38 15 0 0 0 17 0 0
19 88 40 15 0 0 1 18 0 0
20 70 21 15 0 0 0 0 0 0
20 71 22 15 0 0 0 1 0 0
20 72 23 15 0 0 0 2 0 0
20 73 24 15 0 0 1 3 0 0
20 77 28 15 0 0 0 7 0 0
20 78 29 15 0 0 0 8 0 0
20 80 31 15 0 0 0 10 0 0
20 82 33 15 0 0 0 12 0 0
20 83 34 15 0 0 1 13 0 0
20 85 36 15 0 0 1 15 0 0
20 87 38 15 0 0 0 17 0 0
20 88 39 15 0 0 1 18 0 0
21 72 23 15 0 0 0 2 0 0
21 73 24 15 0 0 0 3 0 0
21 85 36 15 0 0 0 15 0 0
21 87 38 15 0 0 0 17 0 0
22 70 22 15 0 0 0 0 0 0
22 71 23 15 0 0 0 1 0 0
22 72 24 15 0 0 0 2 0 0
22 73 25 15 0 0 0 3 0 0
22 77 29 15 0 0 0 7 0 0
22 78 30 15 0 0 0 8 0 0
22 80 32 15 0 0 0 10 0 0
22 82 34 15 0 0 0 12 0 0
22 83 35 15 0 0 0 13 0 0
22 85 37 15 0 0 0 15 0 0
22 87 39 15 0 0 0 17 0 0
22 88 41 15 0 0 0 18 0 0
23 70 23 14 0 0 0 0 0 0
23 71 24 14 0 0 0 1 0 0
23 72 25 14 0 0 0 2 0 0
23 77 30 15 1 0 0 7 0 0
23 82 35 15 1 0 0 12 0 0
23 83 36 15 1 0 0 13 0 0
23 87 40 15 1 0 0 17 0 0
23 88 42 15 1 0 0 18 0 0
24 70 23 14 0 0 0 0 0 0
24 72 25 14 0 0 0 2 0 0
24 73 26 14 0 0 0 3 0 0
24 77 30 14 0 0 0 7 0 0
24 78 31 14 0 0 0 8 0 0
24 80 33 14 0 0 1 10 0 0
24 82 35 14 0 0 0 12 0 0
24 83 36 14 0 0 0 13 0 0
24 85 38 14 0 0 0 15 0 0
24 87 40 14 0 0 0 17 0 0
24 88 41 14 0 0 0 18 0 0
25 70 24 14 0 0 0 0 0 0
25 72 25 14 0 0 0 2 0 0
25 73 27 14 0 0 0 3 0 0
25 77 30 14 0 0 0 7 0 0
25 78 32 14 0 0 0 8 0 0
25 80 33 14 0 0 0 10 0 0
25 82 35 14 0 0 0 12 0 0
25 83 36 14 0 0 0 13 0 0
25 85 38 14 0 0 0 15 0 0
25 87 41 14 0 0 0 17 0 0
25 88 42 14 0 0 0 18 0 0
26 70 25 14 0 0 0 0 0 0
26 71 26 14 1 0 0 1 0 0
26 77 32 14 1 0 0 7 0 0
26 83 38 14 1 0 0 13 0 0
26 85 40 14 1 0 0 15 0 0
26 87 42 14 1 0 0 17 0 0
27 70 24 14 0 0 0 0 0 0
27 71 25 14 0 0 0 1 0 0
28 77 28 13 0 0 0 7 0 0
29 70 21 13 0 0 0 0 0 0
29 71 22 13 0 0 0 1 0 0
29 72 23 13 0 0 0 2 0 0
30 72 21 8 0 0 1 2 0 0
30 77 26 8 0 0 0 7 0 0
30 82 31 8 0 0 0 12 0 0
30 83 32 8 0 0 0 13 0 0
33 70 24 12 0 0 0 0 0 0
35 82 29 11 0 0 0 12 0 0
36 70 18 12 0 0 0 0 0 0
36 71 19 12 0 0 0 1 0 0
36 72 20 12 0 0 0 2 0 0
36 73 21 12 0 0 0 3 0 0
36 77 25 12 0 0 1 7 0 0
36 78 26 12 0 0 1 8 0 0
36 88 37 12 0 0 0 18 0 0
38 70 25 12 0 0 0 0 0 0
38 71 26 12 0 0 0 1 0 0
38 72 27 12 0 0 0 2 0 0
38 77 32 12 0 0 0 7 0 0
39 82 38 16 0 0 0 12 0 0
39 83 39 16 0 0 0 13 0 0
39 85 41 16 0 0 0 15 0 0
39 87 43 16 0 0 0 17 0 0
39 88 44 16 0 0 0 18 0 0
40 71 20 14 0 0 0 1 0 0
41 70 22 12 0 0 0 0 0 0
41 71 23 12 0 0 0 1 0 0
41 72 24 12 0 0 0 2 0 0
41 73 25 12 0 0 0 3 0 0
41 77 29 12 0 0 0 7 0 0
41 85 37 12 0 0 0 15 0 0
41 87 39 12 0 0 0 17 0 0
42 72 19 12 0 0 0 2 0 0
42 73 20 12 0 0 1 3 0 0
42 77 24 12 0 0 0 7 0 0
42 78 25 12 0 0 0 8 0 0
42 80 27 12 0 0 0 10 0 0
42 82 29 12 0 0 0 12 0 0
42 87 34 12 0 0 1 17 0 0
43 78 25 16 0 0 0 8 0 0
43 83 30 17 0 0 0 13 0 0
43 85 32 17 0 0 0 15 0 0
44 70 23 16 0 0 0 0 0 0
44 71 24 16 0 0 0 1 0 0
44 78 31 18 0 0 0 8 0 0
44 82 35 18 0 0 1 12 0 0
44 83 36 18 0 0 1 13 0 0
44 85 38 18 0 0 1 15 0 0
44 87 40 18 0 0 1 17 0 0
44 88 41 18 0 0 1 18 0 0
45 72 19 12 0 0 1 2 0 0
45 73 20 12 0 0 1 3 0 0
45 77 24 12 0 0 1 7 0 0
45 80 27 12 0 0 1 10 0 0
45 82 29 12 0 0 1 12 0 0
45 83 30 12 0 0 1 13 0 0
45 85 32 12 0 0 1 15 0 0
45 87 34 12 0 0 1 17 0 0
45 88 35 12 0 0 1 18 0 0
46 77 33 17 0 0 0 7 0 0
46 87 43 18 0 0 0 17 0 0
46 88 44 18 0 0 0 18 0 0
47 71 18 9 0 0 0 1 0 0
47 72 19 9 0 0 0 2 0 0
47 73 20 9 0 0 0 3 0 0
47 77 24 9 0 0 0 7 0 0
47 87 34 12 0 0 0 17 0 0
47 88 35 12 0 0 0 18 0 0
48 87 34 15 0 0 0 17 0 0
48 88 35 15 0 0 0 18 0 0
49 70 23 12 0 0 0 0 0 0
49 71 24 12 0 0 0 1 0 0
49 82 35 12 0 0 0 12 0 0
49 83 36 12 0 0 0 13 0 0
49 85 37 12 0 0 0 15 0 0
49 87 40 12 0 0 0 17 0 0
50 72 20 12 0 0 0 2 0 0
50 82 30 14 0 0 0 12 0 0
50 83 31 16 0 0 0 13 0 0
50 85 33 16 0 0 0 15 0 0
50 87 35 16 0 0 0 17 0 0
50 88 36 16 0 0 0 18 0 0
51 70 19 12 0 0 1 0 0 0
51 71 20 12 0 0 0 1 0 0
51 72 21 12 0 0 0 2 0 0
51 78 27 12 0 0 0 8 0 0
51 82 31 12 0 0 0 12 0 0
51 88 38 12 0 0 0 18 0 0
53 72 18 12 0 0 0 2 0 0
53 73 19 12 0 0 0 3 0 0
53 82 28 12 0 0 0 12 0 0
53 83 29 12 0 0 0 13 0 0
54 77 28 12 0 0 0 7 0 0
54 88 40 12 0 0 0 18 0 0
55 70 26 12 0 0 0 0 0 0
55 71 27 12 0 0 0 1 0 0
55 72 28 12 0 0 0 2 0 0
55 73 29 12 0 0 0 3 0 0
55 78 34 12 0 0 0 8 0 0
55 88 44 12 0 0 0 18 0 0
56 77 28 12 0 0 0 7 0 0
56 82 32 12 0 0 0 12 0 0
57 71 25 12 0 0 0 1 0 0
57 77 31 12 0 0 0 7 0 0
57 78 32 12 0 0 0 8 0 0
57 80 34 12 0 0 0 10 0 0
57 82 36 12 0 0 0 12 0 0
57 83 37 12 0 0 0 13 0 0
57 87 41 12 0 0 0 17 0 0
57 88 42 12 0 0 0 18 0 0
58 73 28 12 0 0 0 3 0 0
58 77 32 12 0 0 0 7 0 0
58 78 33 12 0 0 1 8 0 0
58 80 35 12 0 0 0 10 0 0
58 82 37 13 0 0 0 12 0 0
58 83 38 13 0 0 1 13 0 0
58 87 42 13 1 0 0 17 0 0
58 88 44 13 1 0 0 18 0 0
59 82 33 12 0 0 0 12 0 0
59 83 34 12 0 0 0 13 0 0
59 85 36 12 0 0 0 15 0 0
59 87 38 12 0 0 0 17 0 0
59 88 40 12 0 0 0 18 0 0
60 70 18 12 0 0 0 0 0 0
60 71 19 12 0 0 0 1 0 0
60 72 20 12 0 0 0 2 0 0
60 73 21 12 0 0 0 3 0 0
60 77 25 12 0 0 0 7 0 0
61 71 18 12 0 0 0 1 0 0
61 72 19 12 0 0 0 2 0 0
61 73 20 12 0 0 0 3 0 0
62 82 31 10 1 0 0 12 0 0
62 83 32 10 1 0 0 13 0 0
62 85 34 10 1 0 0 15 0 0
62 87 36 10 1 0 0 17 0 0
62 88 38 10 1 0 0 18 0 0
63 71 26 15 0 0 0 1 0 0
63 72 27 15 0 0 1 2 0 0
63 77 32 15 0 0 1 7 0 0
63 85 40 15 0 0 1 15 0 0
63 87 42 15 0 0 1 17 0 0
63 88 44 15 0 0 1 18 0 0
64 70 19 12 0 0 0 0 0 0
64 71 20 12 0 0 0 1 0 0
64 72 21 12 0 0 0 2 0 0
64 87 36 12 0 0 1 17 0 0
64 88 38 12 0 0 1 18 0 0
65 70 24 15 0 0 0 0 0 0
65 73 27 15 0 0 0 3 0 0
65 77 31 15 0 0 1 7 0 0
66 78 29 13 0 0 1 8 0 0
66 80 31 13 0 0 1 10 0 0
66 82 33 13 0 0 1 12 0 0
66 83 34 13 0 0 1 13 0 0
66 85 36 13 0 0 1 15 0 0
66 87 38 13 0 0 0 17 0 0
66 88 39 13 0 0 0 18 0 0
67 70 22 15 0 1 0 0 0 0
67 71 23 15 0 0 0 1 0 0
67 72 24 15 1 0 0 2 0 0
67 73 25 15 1 0 1 3 0 0
67 77 29 15 1 0 0 7 0 0
67 87 39 15 1 0 0 17 0 0
67 88 40 15 1 0 0 18 0 0
68 71 27 16 0 0 0 1 0 0
68 72 28 16 0 0 0 2 0 0
68 73 29 16 0 0 0 3 0 0
69 70 20 12 1 0 0 0 0 0
69 71 21 12 1 0 0 1 0 0
69 72 22 12 0 0 0 2 0 0
69 73 23 12 0 0 0 3 0 0
69 77 27 12 0 0 0 7 0 0
70 85 33 13 1 0 0 15 0 0
70 87 35 13 1 0 0 17 0 0
70 88 36 13 1 0 0 18 0 0
71 73 19 12 1 0 0 3 0 0
71 80 26 12 0 0 0 10 0 0
71 82 28 12 0 0 0 12 0 0
71 83 29 12 0 0 0 13 0 0
71 85 31 12 1 0 0 15 0 0
71 87 33 12 1 0 0 17 0 0
71 88 34 12 1 0 0 18 0 0
72 71 18 12 1 0 0 1 0 0
72 72 20 12 0 0 1 2 0 0
72 73 20 12 0 0 0 3 0 0
72 77 25 12 0 0 0 7 0 0
72 85 32 12 0 0 0 15 0 0
72 87 34 12 0 0 1 17 0 0
72 88 36 12 0 0 1 18 0 0
73 72 20 14 1 0 0 2 0 0
73 73 21 14 1 0 0 3 0 0
73 77 25 14 1 0 0 7 0 0
73 78 26 14 1 0 0 8 0 0
73 80 28 14 1 0 0 10 0 0
73 82 30 14 1 0 0 12 0 0
73 83 31 14 1 0 0 13 0 0
73 85 33 14 1 0 0 15 0 0
73 87 35 14 1 0 0 17 0 0
73 88 36 14 1 0 0 18 0 0
75 70 20 11 1 0 0 0 0 1
75 71 21 11 1 0 0 1 0 1
75 72 22 11 1 0 0 2 0 1
75 73 23 11 1 0 1 3 0 1
75 77 27 11 1 0 1 7 0 1
75 80 30 11 1 0 1 10 0 1
75 82 32 11 1 0 1 12 0 1
75 83 33 11 1 0 1 13 0 1
75 85 35 11 1 0 1 15 0 1
75 87 37 11 1 0 1 17 0 1
75 88 39 11 1 0 1 18 0 1
76 82 29 10 1 0 0 12 0 1
76 83 30 10 1 0 0 13 0 1
76 85 32 11 1 0 0 15 0 1
77 78 24 10 1 0 0 8 0 1
77 80 26 10 1 0 0 10 0 1
77 82 28 10 1 0 0 12 0 1
77 85 31 10 1 0 0 15 0 1
77 88 34 10 1 0 0 18 0 1
78 70 22 12 0 0 0 0 0 0
78 71 23 12 0 0 0 1 0 0
78 72 24 12 0 0 0 2 0 0
78 73 25 12 0 0 0 3 0 0
78 77 29 12 0 0 0 7 0 0
78 78 30 12 0 0 0 8 0 0
78 80 32 12 0 0 1 10 0 0
78 82 34 12 0 0 0 12 0 0
78 83 35 12 0 0 0 13 0 0
78 85 37 12 0 0 0 15 0 0
78 87 39 12 0 0 0 17 0 0
78 88 40 12 0 0 0 18 0 0
80 85 42 14 0 0 0 15 0 0
80 87 44 14 0 0 0 17 0 0
80 88 45 14 0 0 0 18 0 0
81 80 32 10 0 0 1 10 0 0
81 82 34 10 0 0 0 12 0 0
81 83 35 10 0 0 0 13 0 0
82 70 22 12 0 0 1 0 0 0
82 71 23 12 0 0 0 1 0 0
82 72 24 12 0 0 0 2 0 0
82 73 25 12 0 0 0 3 0 0
83 72 19 12 0 0 0 2 0 0
83 73 20 12 0 0 0 3 0 0
83 77 24 12 0 0 0 7 0 0
83 78 25 12 0 0 0 8 0 0
83 80 27 12 0 0 0 10 0 0
83 82 29 12 0 0 0 12 0 0
83 83 30 12 0 0 0 13 0 0
83 87 34 12 0 0 0 17 0 0
85 70 20 11 0 0 0 0 0 0
85 85 35 11 0 0 0 15 0 0
85 87 37 11 0 0 0 17 0 0
85 88 38 11 0 0 0 18 0 0
86 72 27 17 0 0 0 2 0 0
86 73 29 17 0 0 0 3 0 0
86 77 32 17 0 0 0 7 0 0
86 80 36 17 0 0 1 10 0 0
86 82 38 17 0 0 1 12 0 0
86 83 38 17 0 0 1 13 0 0
86 85 40 17 0 0 1 15 0 0
86 87 42 17 0 0 1 17 0 0
86 88 44 17 0 0 1 18 0 0
87 70 23 17 0 0 0 0 0 0
87 71 24 17 0 0 0 1 0 0
89 70 22 14 0 0 0 0 0 0
89 71 22 14 0 0 0 1 0 0
92 73 24 8 0 0 0 3 0 0
92 77 28 9 0 0 1 7 0 0
93 71 22 12 0 0 1 1 0 1
93 72 23 12 0 0 1 2 0 1
93 77 28 13 0 0 0 7 0 1
94 71 25 10 0 0 0 1 0 1
94 85 39 10 0 0 0 15 0 1
94 87 41 10 0 0 0 17 0 1
95 73 22 11 0 0 0 3 0 1
97 85 34 9 0 0 1 15 0 1
98 70 22 11 0 0 0 0 0 1
98 71 23 11 0 0 0 1 0 1
98 72 24 11 0 0 1 2 0 1
98 73 25 11 0 0 0 3 0 1
98 77 29 11 0 0 1 7 0 1
99 70 19 12 0 0 0 0 0 1
99 72 21 12 0 0 0 2 0 1
99 73 22 12 0 0 0 3 0 1
100 71 25 16 0 0 0 1 0 0
101 72 21 14 0 0 0 2 0 0
103 78 26 18 0 0 1 8 0 0
103 82 30 18 0 0 0 12 0 0
103 85 33 18 0 0 1 15 0 0
103 87 35 18 0 0 1 17 0 0
103 88 36 18 0 0 1 18 0 0
104 73 25 17 0 0 1 3 0 0
104 82 34 17 0 0 0 12 0 0
104 83 35 17 0 0 0 13 0 0
104 85 37 17 0 0 0 15 0 0
104 87 39 17 0 0 0 17 0 0
104 88 41 17 0 0 0 18 0 0
105 71 23 16 0 0 1 1 0 0
105 82 34 16 0 0 0 12 0 0
105 85 37 16 0 0 0 15 0 0
105 87 39 16 0 0 0 17 0 0
105 88 41 16 0 0 0 18 0 0
106 70 20 11 0 0 1 0 0 1
106 71 21 11 0 1 0 1 1 1
106 72 22 11 0 1 0 2 2 1
106 73 23 11 0 1 0 3 3 1
106 77 27 11 0 1 0 7 7 1
106 80 30 12 0 1 1 10 10 1
106 82 32 12 0 1 0 12 12 1
106 83 33 12 0 1 0 13 13 1
106 85 35 12 0 1 0 15 15 1
106 87 37 12 0 1 0 17 17 1
106 88 38 12 0 1 0 18 18 1
107 71 26 8 0 0 1 1 0 1
107 73 28 8 0 0 1 3 0 1
107 77 32 8 0 0 0 7 0 1
107 82 37 8 0 0 1 12 0 1
107 83 38 8 0 0 0 13 0 1
107 85 40 8 0 0 1 15 0 1
107 88 43 8 0 0 1 18 0 1
108 70 23 12 0 0 0 0 0 1
108 77 29 12 0 0 0 7 0 1
108 78 31 12 0 0 1 8 0 1
108 82 35 12 0 0 0 12 0 1
108 83 35 12 0 0 1 13 0 1
108 88 41 12 0 0 0 18 0 1
109 80 33 12 0 0 0 10 0 0
109 82 35 12 0 0 0 12 0 0
109 83 36 12 0 0 0 13 0 0
109 85 38 12 0 0 0 15 0 0
109 87 40 12 0 0 0 17 0 0
110 87 44 12 0 0 0 17 0 0
110 88 45 12 0 0 1 18 0 0
111 72 28 5 0 0 1 2 0 0
111 73 29 5 0 0 1 3 0 0
111 77 33 5 0 0 1 7 0 0
111 78 34 5 0 0 1 8 0 0
111 80 36 5 0 0 1 10 0 0
111 82 38 5 0 0 1 12 0 0
111 83 39 5 0 0 1 13 0 0
111 85 41 5 0 0 1 15 0 0
112 72 19 11 0 0 1 2 0 1
112 73 20 11 0 0 0 3 0 1
114 82 32 12 0 0 1 12 0 1
114 83 33 12 0 0 0 13 0 1
114 88 38 12 0 0 0 18 0 1
115 73 21 12 0 0 0 3 0 1
115 77 25 12 0 0 0 7 0 1
115 80 28 12 0 0 0 10 0 1
115 82 31 12 0 0 1 12 0 1
115 85 34 12 0 0 0 15 0 1
115 87 36 12 0 0 0 17 0 1
118 71 26 8 0 0 0 1 0 0
118 77 32 8 0 0 0 7 0 0
118 78 33 8 0 0 0 8 0 0
118 80 35 8 0 0 0 10 0 0
118 82 37 8 0 0 0 12 0 0
118 83 38 8 0 0 0 13 0 0
118 85 40 8 0 0 1 15 0 0
118 87 42 8 0 0 1 17 0 0
120 72 18 9 0 0 1 2 0 0
121 70 21 12 0 0 1 0 0 1
121 71 22 12 0 0 1 1 0 1
121 72 23 12 0 0 1 2 0 1
121 73 24 12 0 0 1 3 0 1
121 77 28 12 0 0 1 7 0 1
121 78 29 12 0 0 1 8 0 1
121 80 31 12 0 0 1 10 0 1
121 82 33 12 0 0 1 12 0 1
121 83 34 12 0 0 1 13 0 1
121 85 36 12 0 0 1 15 0 1
121 87 38 12 0 0 1 17 0 1
121 88 39 12 0 0 1 18 0 1
122 78 24 15 0 0 0 8 0 1
122 82 28 15 0 0 0 12 0 1
122 85 31 15 1 1 1 15 15 1
122 87 33 15 1 1 0 17 17 1
123 85 38 6 0 0 1 15 0 0
123 88 41 6 0 0 1 18 0 0
126 70 21 12 0 0 0 0 0 1
126 71 22 12 0 0 0 1 0 1
126 72 23 12 0 0 0 2 0 1
126 73 24 12 0 0 1 3 0 1
126 77 28 12 0 0 1 7 0 1
126 78 29 12 0 0 1 8 0 1
126 80 31 12 0 0 1 10 0 1
126 82 33 12 0 0 1 12 0 1
126 83 34 12 0 0 1 13 0 1
126 85 36 12 0 0 1 15 0 1
126 87 38 12 0 0 1 17 0 1
126 88 39 12 0 0 0 18 0 1
127 72 22 14 0 0 0 2 0 0
128 70 18 12 0 0 0 0 0 0
128 71 19 12 0 0 0 1 0 0
128 72 20 12 0 0 0 2 0 0
128 73 21 12 0 0 0 3 0 0
128 77 25 12 0 0 0 7 0 0
128 78 26 12 0 0 0 8 0 0
128 80 28 12 0 0 0 10 0 0
128 82 30 12 0 0 0 12 0 0
128 83 31 12 0 0 0 13 0 0
128 85 33 12 0 0 0 15 0 0
128 87 35 12 0 0 0 17 0 0
128 88 36 12 0 0 0 18 0 0
129 72 27 12 0 0 0 2 0 0
129 77 32 12 0 0 0 7 0 0
129 80 35 12 0 0 0 10 0 0
129 82 37 12 0 0 0 12 0 0
129 83 38 12 0 0 0 13 0 0
129 85 40 12 0 0 0 15 0 0
129 87 42 12 0 0 0 17 0 0
129 88 43 12 0 0 0 18 0 0
130 70 24 12 0 0 0 0 0 0
130 85 39 12 0 0 0 15 0 0
130 87 41 12 0 0 0 17 0 0
130 88 43 12 0 0 0 18 0 0
131 70 22 12 0 0 0 0 0 0
131 82 34 12 0 0 0 12 0 0
131 83 35 12 0 0 0 13 0 0
131 85 37 12 0 0 0 15 0 0
131 87 39 12 0 0 0 17 0 0
131 88 41 12 0 0 1 18 0 0
132 72 20 10 0 0 0 2 0 0
132 73 21 10 0 0 0 3 0 0
132 78 26 10 0 0 0 8 0 0
132 80 28 10 0 0 0 10 0 0
132 83 31 10 0 0 0 13 0 0
132 85 33 10 0 0 1 15 0 0
132 88 36 10 0 0 0 18 0 0
133 70 24 12 0 0 0 0 0 0
133 72 26 12 0 0 0 2 0 0
133 85 39 12 0 0 0 15 0 0
134 85 38 12 0 0 0 15 0 0
134 87 40 12 0 0 0 17 0 0
134 88 42 12 0 0 0 18 0 0
135 80 32 8 0 0 1 10 0 1
135 83 35 8 0 0 1 13 0 1
136 70 21 12 0 0 0 0 0 1
136 71 22 12 0 0 0 1 0 1
136 72 23 12 0 0 0 2 0 1
136 77 28 12 0 0 0 7 0 1
136 82 33 13 0 0 0 12 0 1
136 83 34 13 0 0 0 13 0 1
137 73 20 15 0 0 0 3 0 1
137 85 33 17 0 0 1 15 0 1
137 87 34 17 0 0 1 17 0 1
137 88 36 17 0 0 1 18 0 1
138 73 19 11 0 0 1 3 0 1
138 77 23 11 0 0 0 7 0 1
138 78 24 11 0 0 0 8 0 1
138 80 26 11 0 0 1 10 0 1
138 82 28 12 0 0 0 12 0 1
138 83 29 12 0 0 0 13 0 1
138 85 31 12 0 0 1 15 0 1
138 87 33 12 0 0 0 17 0 1
139 72 27 9 0 0 1 2 0 1
139 73 28 9 0 0 1 3 0 1
139 85 40 9 0 0 1 15 0 1
139 87 42 9 0 0 0 17 0 1
139 88 44 9 0 0 1 18 0 1
141 80 34 14 0 0 0 10 0 0
141 82 36 14 0 0 0 12 0 0
141 83 37 14 0 0 0 13 0 0
141 85 39 14 0 0 0 15 0 0
141 87 41 14 0 0 0 17 0 0
141 88 43 14 0 0 0 18 0 0
142 77 31 18 0 0 0 7 0 0
142 78 33 18 0 0 0 8 0 0
142 80 34 18 0 0 1 10 0 0
142 83 37 18 0 0 1 13 0 0
142 85 39 18 0 0 1 15 0 0
142 87 41 18 0 0 1 17 0 0
142 88 43 18 0 0 1 18 0 0
143 70 18 11 0 0 0 0 0 0
143 77 25 15 0 0 1 7 0 0
143 78 26 15 0 0 1 8 0 0
143 83 31 15 1 0 0 13 0 0
143 85 33 15 0 0 0 15 0 0
143 87 35 15 0 0 0 17 0 0
143 88 37 15 0 0 0 18 0 0
144 70 25 10 0 0 0 0 0 0
144 71 26 10 0 0 0 1 0 0
144 72 27 10 0 0 0 2 0 0
144 77 32 10 0 1 0 7 7 0
144 80 35 10 0 1 0 10 10 0
144 83 38 10 0 1 0 13 13 0
144 85 40 10 0 1 0 15 15 0
144 87 42 10 0 1 0 17 17 0
144 88 43 10 0 1 0 18 18 0
145 70 18 11 0 0 0 0 0 0
145 71 19 11 0 0 0 1 0 0
145 72 20 11 0 0 0 2 0 0
